FAMILIA,RESISTENCIA,TRAT.SUPERFICIAL,DIA,MES,ANO,PECA_EMPENADA/TORTA,MISTURA,OXIDACAO,TRAT.SUPERFICIAL.1,TRINCA,SEM_PROJECAO,SEM_SERRILHA,CABECA_DIMENSIONAL_MAIOR_QUE_ESPEC,CABECA_DIMENSIONAL_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_CABECA,REBARBA_CABECA,SEM_CHANFRO,CHANFRO_COMPRIMENTO_MAIOR_QUE_ESPEC,CHANFRO_COMPRIMENTO_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_CHANFRO,REBARBA_CHANFRO,CHAVE_ARREDONDADA,EXCESSO_TRATAMENTO_SUPERFICIAL_CHAVE,CHAVE_DIMENSIONAL_MAIOR_QUE_ESPEC,CHAVE_DIMENSIONAL_MENOR_ESPEC,DEFORMACAO_(BATIDA)_CHAVE,REBARBA_CHAVE,FLANGE_DIAMETRO_MAIOR_ESPEC,FLANGE_DIAMETRO_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_FLANGE,FALTA_MATERIAL_FLANGE,REBARBA_FLANGE,DEFORMACAO_(BATIDA)_CORPO,FALTA_MATERIAL_CORPO,SEM_PONTA,PONTA_COMPRIMENTO_MAIOR_QUE_ESPEC,PONTA_COMPRIMENTO_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_PONTA,REBARBA_PONTA,SEM_RECARTILHO,RECARTILHO_CURTO,RECARTILHO_COMPRIDO,DEFORMACAO_(BATIDA)_RECARTILHO,EXCESSO_TRATAMENTO_SUPERFICIAL_ROSCA,SEM_ROSCA,FALTA_DE_FILETES_DE_ROSCA,SOBRA_DE_FILETES_DE_ROSCA,ROSCA_SOBRE_O_CORPO,ROSCA_INCLINADA,DEFORMACAO_(BATIDA)_ROSCA,OBSTRUIDA/FECHADA,FALTA_DE_MATERIAL(ARRUELA),ARRUELA_MAIOR_QUE_A_ESPECIFICACAO,ARRUELA_MENOR_QUE_A_ESPECIFICACAO,SEM_ARRUELA,QTD._MENOR_QUE_O_ESPECIFICADO,QTD._MAIOR_QUE_O_ESPECIFICADO,ARRUELA_TROCADA,ARRUELA_DEFORMADA/BATIDA,TOTAL_DEFEITOS,USINA,QTD_SELECIONADA,MAQUINA,BITOLA,COMPRIMENTO,FAMILIA_ROT,RESISTENCIA_ROT,TRAT_SUPERFICIAL_ROT,USINA_ROT,MATERIA_PRIMA,MATERIA_PRIMA_ROT,MAQUINA_ROT,LOTE_COM_PROBLEMA,TIPO_DEFEITO
PARAF FLANG,8.8,GEOMET,22,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,28765,CELULA50 SP18,6.0,18.0,7,10,5,3,1022,4,50,0,SEM_DEFEITO
PARAF FLANG,8.8,ZNNI PRETO,22,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,11470,CELULA30 SP27,8.0,20.0,7,10,11,3,5137,10,39,0,SEM_DEFEITO
PARAF ALLEN,8.8,ZNNI PRETO,22,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,1000,CELULA20 BF13B3S,8.0,25.0,3,10,11,3,5137,10,29,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,ZNNI PRETO,22,5,2025,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,DUFERCO,15605,CELULA38 HBF-408,6.0,16.0,2,10,11,2,10B33,7,45,1,TRINCA
PARAF ALLEN,10.9,ZNNI PRETO,22,5,2025,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,GERDAU SP,12702,CELULA26 SP27,8.0,16.0,3,2,11,3,DIN41,11,35,1,MISTURA
PARAF 6 LOBE INT,10.9,ZNNI TRANSP,22,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,10500,CELULA 42 SP38,8.0,71.0,2,2,12,2,4140,9,3,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,ZNNI PRETO,22,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,2000,CELULA29 SP37,10.0,25.0,2,10,11,2,10B33,7,38,0,SEM_DEFEITO
PARAF FLANG,8.8,GEOMET,22,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,16049,CELULA 45 SP28,6.0,30.0,7,10,5,3,1022,4,6,0,SEM_DEFEITO
PARAF 6 LOBE INT,10.9,ZNNI TRANSP,22,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,2379,CELULA 42 SP38,8.0,71.0,2,2,12,2,4140,9,3,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,ZNNI PRETO,23,5,2025,0,0,0,0,1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1887,DUFERCO,5642,CELULA29 SP37,10.0,25.0,2,10,11,2,10B33,7,38,1,TRINCA
PARAF 6 LOBE INT,10.9,ZNNI TRANSP,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,22620,CELULA 42 SP38,8.0,71.0,2,2,12,2,4140,9,3,0,SEM_DEFEITO
PARAF FN CZ CIL LEN,4.8,ZP CR3,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,4485,CELULA24 BF13B3S,5.0,35.0,9,6,13,1,PL22,17,33,0,SEM_DEFEITO
PARAF FLANG,8.8,POLIDO,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,964,CELULA19 BF13B-4,8.0,26.0,7,10,7,3,1022,4,28,0,SEM_DEFEITO
PARAF ALLEN,10.9,ZNNI PRETO,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,2542,CELULA26 SP27,8.0,16.0,3,2,11,3,DIN41,11,35,0,SEM_DEFEITO
PARAF 6 LOBE INT,10.9,ZNNI TRANSP,23,5,2025,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,DUFERCO,9503,CELULA 42 SP38,8.0,71.0,2,2,12,2,4140,9,3,1,TRINCA
PARAF ALLEN,8.8,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,5869,CELULA29 SP37,10.0,90.0,3,10,5,3,5137,10,38,0,SEM_DEFEITO
PORCA SEXT TRAV MEC,C0,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,6874,CP-06 BFNF19B,10.0,0.0,22,12,5,1,PL21,16,57,0,SEM_DEFEITO
PARAF FLANG,8.8,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,33951,CELULA 45 SP28,6.0,30.0,7,10,5,3,1022,4,6,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,ZNNI PRETO,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,11000,CELULA38 HBF-408,6.0,16.0,2,10,11,2,10B33,7,45,0,SEM_DEFEITO
PARAF ALLEN,8.8,ZNNI PRETO,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,8900,CELULA20 BF13B3S,8.0,25.0,3,10,11,3,5137,10,29,0,SEM_DEFEITO
PARAF 6 LOBE INT,10.9,ZNNI TRANSP,23,5,2025,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,DUFERCO,3770,CELULA 42 SP38,8.0,71.0,2,2,12,2,4140,9,3,1,TRINCA
PARAF ALLEN,8.8,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,9000,CELULA20 BF13B3S,8.0,38.0,3,10,5,3,5137,10,29,0,SEM_DEFEITO
PARAF FLANG,6.8,ZA CR3,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,10527,CELULA48 SP250,6.0,40.0,7,9,8,3,1022,4,48,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,ZNNI PRETO,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,4000,CELULA21 BF13B4S,6.0,20.0,2,10,11,2,10B33,7,30,0,SEM_DEFEITO
PARAF ALLEN,10.9,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,2950,CELULA38 HBF-408,6.0,12.0,3,2,5,1,PL41,19,45,0,SEM_DEFEITO
PARAF FLANG,8.8,FOSF,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,900,CELULA23 BF19-4S,10.1,33.25,7,10,4,2,10B33,7,32,0,SEM_DEFEITO
PARAF FLANG,5.8,POLIDO,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,15306,CELULA 45 SP28,8.0,16.0,7,8,7,1,PC15,15,6,0,SEM_DEFEITO
PARAF 6 LOBE INT,10.9,ZNNI TRANSP,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,25000,CELULA 42 SP38,8.0,71.0,2,2,12,2,4140,9,3,0,SEM_DEFEITO
PORCA FLANG,C0,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,2500,CP-04 BFNF14B,8.0,0.0,18,12,5,2,10B21,6,55,0,SEM_DEFEITO
PARAF FLANG,8.8,FOSF,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,5000,CELULA23 BF19-4S,10.1,33.25,7,10,4,2,10B33,7,32,0,SEM_DEFEITO
PORCA FLANG,C0,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,8000,CP-04 BFNF14B,8.0,0.0,18,12,5,2,10B21,6,55,0,SEM_DEFEITO
PARAF ALLEN,8.8,GEOMET,23,5,2025,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,GERDAU SP,4111,CELULA20 BF13B3S,8.0,38.0,3,10,5,3,5137,10,29,1,MISTURA
PARAF FLANG,8.8,FOSF,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,5103,CELULA23 BF19-4S,10.1,33.25,7,10,4,2,10B33,7,32,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,ZNNI PRETO,23,5,2025,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,DUFERCO,2211,CELULA38 HBF-408,6.0,16.0,2,10,11,2,10B33,7,45,1,TRINCA
PARAF 6 LOBE INT,10.9,ZNNI TRANSP,23,5,2025,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,DUFERCO,9258,CELULA 42 SP38,8.0,71.0,2,2,12,2,4140,9,3,1,TRINCA
PARAF 6 LOBE INT,8.8,ZNNI PRETO,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,3000,CELULA21 BF13B4S,6.0,20.0,2,10,11,2,10B33,7,30,0,SEM_DEFEITO
PORCA FLANG,C0,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,7000,CP-04 BFNF14B,8.0,0.0,18,12,5,2,10B21,6,55,0,SEM_DEFEITO
PARAF ALLEN,10.9,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,7200,CELULA20 BF13B3S,8.0,30.0,3,2,5,3,5137,10,29,0,SEM_DEFEITO
PARAF 6 LOBE INT,10.9,ZNNI TRANSP,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,23558,CELULA 42 SP38,8.0,71.0,2,2,12,2,4140,9,3,0,SEM_DEFEITO
PARAF SEXT,8.8,ZB CR3,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,13764,CELULA31 SP37CR,10.0,40.0,15,10,9,1,PL30,18,40,0,SEM_DEFEITO
PARAF FLANG,8.8,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,81208,CELULA34 HBF425S,6.0,18.0,7,10,5,3,5137,10,42,0,SEM_DEFEITO
PARAF SEXT,10.9,POLIDO,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,10000,CELULA31 SP37CR,10.0,28.0,15,2,7,1,PL30,18,40,0,SEM_DEFEITO
PARAF FLANG,10.9,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,13545,CELULA 44 SP48,14.0,40.0,7,2,5,2,10B33,7,5,0,SEM_DEFEITO
PARAF FLANG,8.8,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,35682,CELULA 45 SP28,6.0,30.0,7,10,5,3,1022,4,6,0,SEM_DEFEITO
PARAF FLANG,8.8,ZNNI PRETO,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,9390,CELULA34 HBF425S,6.0,20.0,7,10,11,3,5137,10,42,0,SEM_DEFEITO
PARAF FLANG,10.9,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,17400,CELULA35 SP27,8.0,25.0,7,2,5,2,10B33,7,43,0,SEM_DEFEITO
PARAF FLANG,10.9,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,8600,CELULA52 BF19-4S,12.0,40.0,7,2,5,2,10B33,7,51,0,SEM_DEFEITO
PARAF FLANG,8.8,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,39435,CELULA50 SP18,6.0,18.0,7,10,5,3,1022,4,50,0,SEM_DEFEITO
PARAF FLANG,8.8,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,6700,CELULA 53 CD513,10.0,35.0,7,10,5,3,1022,4,9,0,SEM_DEFEITO
PARAF 6 LOBE INT,10.9,ZNNI TRANSP,23,5,2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,DUFERCO,12253,CELULA 42 SP38,8.0,71.0,2,2,12,2,4140,9,3,1,PECA_EMPENADA/TORTA
PARAF ALLEN,10.9,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,24500,CELULA38 HBF-408,6.0,12.0,3,2,5,1,PL41,19,45,0,SEM_DEFEITO
PARAF FLANG,10.9,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,923,CELULA 51 SP360L,12.0,75.0,7,2,5,2,10B33,7,8,0,SEM_DEFEITO
PARAF ALLEN,10.9,ZNNI PRETO,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,10400,CELULA26 SP27,8.0,16.0,3,2,11,3,DIN41,11,35,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,ZP CR3,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,14200,CELULA38 HBF-408,6.0,16.0,2,10,13,3,1022,4,45,0,SEM_DEFEITO
PARAF FRANCES,8.8,ZNNI PRETO,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,5640,CELULA07 CH2-LA,8.0,75.0,12,10,11,3,1022,4,16,0,SEM_DEFEITO
PARAF FLANG,8.8,GEOMET,23,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,4000,CELULA 45 SP28,6.0,30.0,7,10,5,2,10B33,7,6,0,SEM_DEFEITO
PARAF FLANG,10.9,GEOMET,24,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,1960,CELULA52 BF19-4S,12.0,40.0,7,2,5,2,10B33,7,51,0,SEM_DEFEITO
PARAF ALLEN,10.9,ZNNI PRETO,24,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,52309,CELULA26 SP27,8.0,12.0,3,2,11,3,DIN41,11,35,0,SEM_DEFEITO
PARAF FRANCES,8.8,ZNNI PRETO,24,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,20000,CELULA07 CH2-LA,8.0,75.0,12,10,11,3,5137,10,16,0,SEM_DEFEITO
PARAF FLANG,8.8,GEOMET,24,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,7100,CELULA 53 CD513,10.0,35.0,7,10,5,3,1022,4,9,0,SEM_DEFEITO
PARAF ALLEN,10.9,GEOMET,24,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,4300,CELULA38 HBF-408,6.0,12.0,3,2,5,1,PL41,19,45,0,SEM_DEFEITO
PARAF ALLEN,10.9,GEOMET,24,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,1990,CELULA38 HBF-408,6.0,12.0,3,2,5,1,PL41,19,45,0,SEM_DEFEITO
PARAF FLANG,10.9,GEOMET,24,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,4024,CELULA 42 SP38,8.0,75.0,7,2,5,3,5137,10,3,0,SEM_DEFEITO
PARAF ALLEN,10.9,GEOMET,24,5,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,3800,CELULA20 BF13B3S,8.0,30.0,3,2,5,3,5137,10,29,0,SEM_DEFEITO
